from_node,to_node,distance
JP_458403678,JP_458403676,70.35362769152191
JP_458409409,JP_458399042,91.4066568432491
JP_458409409,JP_458398991,113.69295253581502
JP_458409409,JP_2264640035,112.61824140410648
JP_458409410,JP_458409411,55.831055110140596
JP_458409410,JP_458398991,54.92056233935476
JP_458409411,JP_458409410,55.831055110140596
JP_458409411,JP_458409412,97.78658183573191
JP_458409412,JP_458409422,72.67350517168377
JP_458409412,JP_601416296,24.984698551804797
JP_458409412,JP_458409410,66.28184536506775
JP_458409416,JP_458409454,280.90648008623054
JP_458409416,JP_7226597768,5.003101064114823
JP_458409417,JP_7226597758,6.806474357917454
JP_458409417,JP_7226597750,6.7302761013013725
JP_458409418,JP_601416304,40.10108511041098
JP_458409418,JP_2641435391,81.44153399188448
JP_458409420,JP_2728515890,12.40339439708389
JP_458409420,JP_10136420326,124.20443794844927
JP_458409422,JP_2641435391,148.76598655732062
JP_458409422,JP_458409466,63.99040366862857
JP_458409422,JP_458409412,72.67350517168377
JP_458409422,JP_598159495,202.7768218650238
JP_458409442,JP_458411574,139.64661908171468
JP_458409442,JP_458411575,79.9614068378967
JP_458409448,JP_458398988,138.54154532740245
JP_458409448,JP_3307943549,72.73134214162583
JP_458409454,JP_458409466,89.76250152541976
JP_458409454,JP_2728515914,106.30836367675579
JP_458409454,JP_458409416,280.9064800862305
JP_458409461,JP_2953464291,75.24105619460036
JP_458409461,JP_7226597759,27.140176750798865
JP_458409466,JP_458409422,63.99040366862857
JP_458409466,JP_458409454,89.76250152541976
JP_458409473,JP_458398987,138.3448950941322
JP_458409473,JP_876569454,153.4037886969348
JP_458409473,JP_458409448,72.25997015499993
JP_458409474,JP_458398982,66.41957073735023
JP_458409474,JP_458403671,212.97594927638252
JP_458409476,JP_458409479,276.82851138656497
JP_458409476,JP_458409483,214.70499636342922
JP_458409476,JP_7199506151,74.97896186038282
JP_458409476,JP_7199506150,63.91353076690507
JP_458409478,JP_8932811166,75.31258862154144
JP_458409478,JP_7199506151,69.08090331754033
JP_458409478,JP_458399003,291.45508359740694
JP_458409478,JP_458398998,214.06796925470354
JP_458409479,JP_458409476,276.82851138656497
JP_458409479,JP_458409484,72.24940645766864
JP_458409479,JP_458399039,69.36583225850922
JP_458409479,JP_2641435394,72.05457429869118
JP_458409482,JP_7199506151,213.77816644754316
JP_458409482,JP_458403656,218.74391827020662
JP_458409482,JP_458409483,69.83741693784702
JP_458409482,JP_458398998,69.77805556199114
JP_458409483,JP_458409476,214.70499636342922
JP_458409483,JP_603864875,217.1403725054077
JP_458409483,JP_458399000,68.13508957233819
JP_458409483,JP_458409482,69.83741693784702
JP_458409484,JP_458398997,72.83331469927924
JP_458409484,JP_458409479,72.24940645766864
JP_458409484,JP_458398992,92.26602895409815
JP_458409484,JP_458403678,141.36585584774505
JP_458409485,JP_458403678,138.76093925858746
JP_458409485,JP_2538730219,152.19834712545224
JP_458409485,JP_458409473,73.55177473731135
JP_458411573,JP_3622988065,80.65699175400182
JP_458411573,JP_1869448212,71.24015951678005
JP_458411574,JP_598159495,242.50945489379927
JP_458411574,JP_1903298135,13.524765084841397
JP_458411575,JP_458409448,74.04661087027775
JP_458411575,JP_458411579,127.78609793931369
JP_458411576,JP_458411577,97.66791295589391
JP_458411576,JP_458399041,47.51096796216901
JP_458411577,JP_458398988,43.528346336018906
JP_458411577,JP_3307943506,106.64696268661821
JP_458411578,JP_458411579,73.64432951951753
JP_458411578,JP_458411580,65.45255538599484
JP_458411579,JP_458411575,127.78609793931369
JP_458411579,JP_1783985875,38.91517649611441
JP_458411580,JP_601416291,113.78800908589903
JP_458411580,JP_601416294,73.08560135403353
JP_458411580,JP_458398989,142.6330987820127
JP_508062146,JP_6314598053,5.287039543419254
JP_508062146,JP_7202846339,72.99712902855235
JP_508062189,JP_8932811195,47.47122049705943
JP_508062189,JP_598927385,112.85675846391861
JP_508062189,JP_598927389,198.04399929425097
JP_508062190,JP_8932888041,106.85516930200035
JP_508062190,JP_2657589188,112.48581254578254
JP_587648799,JP_7365480412,13.826632175196732
JP_587648809,JP_2022128888,7.04218086625915
JP_587648809,JP_611013836,4.786094367611806
JP_587648811,JP_2022114791,89.10941936309459
JP_587648811,JP_7352045678,4.491562962793688
JP_587648813,JP_598159858,12.352024594048286
JP_587648813,JP_7352101693,5.965541995731837
JP_587648814,JP_2495070479,5.459858494634778
JP_587648814,JP_2951565869,101.47401952251086
JP_587648819,JP_598159595,120.0793672144241
JP_587648819,JP_2531218264,77.11836517798825
JP_587648820,JP_598159557,166.44833271390166
JP_587648820,JP_2531218304,132.9466633620332
JP_587648821,JP_2264618739,14.3338653545479
JP_587648821,JP_7383647427,6.641731277938323
JP_587648823,JP_603856859,16.74075405335835
JP_587648823,JP_2495070555,6.40906949884774
JP_587648827,JP_603856728,12.140605353273086
JP_587648827,JP_7386122811,8.146865246123541
JP_587648829,JP_602516555,48.52905163262377
JP_587648829,JP_603753280,742.6343564837537
JP_587648836,JP_8964674031,68.62597507843428
JP_587648836,JP_7244113619,8.322227676007929
JP_587648837,JP_598926926,139.62924501622405
JP_587648837,JP_7259647250,122.15021271804899
JP_587648839,JP_663118441,255.79400030880552
JP_587648839,JP_7199773027,125.91183222349642
JP_587648840,JP_2068809165,190.16819319900404
JP_587648840,JP_598926847,103.09824279536119
JP_587648877,JP_2765960178,41.11025178115717
JP_587648877,JP_2068808999,17.291531714421453
JP_587648877,JP_7153126026,504.14212427249885
JP_587648898,JP_671147364,29.272072694876613
JP_587648898,JP_697331020,254.50770618652166
JP_587648916,JP_8943334880,113.17818339487947
JP_587648916,JP_8944054720,71.43542016316209
JP_587648922,JP_7207765292,176.81618257867402
JP_587648922,JP_8932669370,199.4697868035055
JP_587648924,JP_2539756598,268.83742668564275
JP_587648924,JP_2539756623,36.39244044027617
JP_587648929,JP_587648930,69.84048909465487
JP_587648929,JP_2375263172,352.8737093870815
JP_587648930,JP_603372518,95.47349281003017
JP_587648942,JP_603365483,106.87204599847047
JP_587648942,JP_8940450233,12.71576845770089
JP_587648954,JP_1330000497,10.029741086410155
JP_587648954,JP_2531218498,20.652976601476325
JP_587648957,JP_7229163841,151.9818621316372
JP_587648957,JP_11993402081,83.1055670997847
JP_587648957,JP_2022414318,162.52406669840053
JP_587648958,JP_2264652053,39.02982783870029
JP_587648958,JP_8941104299,33.80165429757385
JP_587648958,JP_11993402081,85.9545128164831
JP_587648960,JP_1330042132,195.54443709093667
JP_587648960,JP_8941104300,152.33930383168905
JP_587648966,JP_2539678028,60.751031893409774
JP_587648966,JP_4858491093,152.6312530051136
JP_587648971,JP_8933093838,249.26952409587582
JP_587648971,JP_602382612,63.78390940876795
JP_587648975,JP_7059229295,89.0422997511483
JP_587648975,JP_2435868595,76.82060087995565
JP_587648976,JP_7059516276,83.80542448482846
JP_587648976,JP_2068572908,103.57505347601897
JP_587648976,JP_2435864264,197.3697124492479
JP_587648977,JP_2022154974,58.914067166591344
JP_587648977,JP_2022140852,104.83891777127187
JP_587648977,JP_2068808978,164.60455342799796
JP_587648979,JP_3981025268,100.60575823470741
JP_587648986,JP_617477673,216.7492318424867
JP_587648986,JP_614673604,85.73580386017964
JP_587648986,JP_617477626,76.29409250766722
JP_587649007,JP_8940898950,26.966144977903685
JP_587649007,JP_602312661,159.80929697550755
JP_587649009,JP_598926964,63.89864824941422
JP_587649009,JP_8940898960,108.39871303232063
JP_587649011,JP_598926963,132.96225132847474
JP_587649012,JP_2068809132,119.0140734978916
JP_587649012,JP_2051675131,110.26506392158772
JP_587649012,JP_2068809113,92.56614454953753
JP_587649014,JP_2768532524,123.01343804399063
JP_587649014,JP_3764290949,92.76364785852827
JP_587649015,JP_587649014,84.73451298802084
JP_587649015,JP_5957392518,41.42066590793164
JP_587649015,JP_598926885,138.69491425361824
JP_587649046,JP_598927147,211.60152693015314
JP_587649046,JP_598159448,13.19110142349855
JP_587649050,JP_458403663,252.52151032294677
JP_587649050,JP_458403676,69.86226587271436
JP_589400219,JP_598160053,68.07124726392352
JP_589400223,JP_644147839,27.82765294201473
