node_id,longitude,latitude
JP_598927003,-34.8652008,-7.1252121
JP_598927004,-34.8670217,-7.1248337
JP_598927005,-34.8670332,-7.1249488
JP_598927006,-34.8665187,-7.1251847
JP_598927007,-34.8659477,-7.125458
JP_598927008,-34.8654271,-7.125703
JP_598927011,-34.8646,-7.129507
JP_598927012,-34.8648347,-7.1299861
JP_598927013,-34.8642976,-7.1260877
JP_598927014,-34.8643533,-7.1262187
JP_598927015,-34.8630564,-7.1262494
JP_598927016,-34.8632365,-7.1266057
JP_598927017,-34.8632891,-7.1267139
JP_598927020,-34.8641353,-7.1257217
JP_598927021,-34.862764,-7.1256798
JP_598927022,-34.8633263,-7.1254157
JP_598927023,-34.8648774,-7.1259628
JP_598927025,-34.8622665,-7.1246059
JP_598927026,-34.8601073,-7.1256093
JP_598927028,-34.8611882,-7.1251129
JP_598927030,-34.8617139,-7.1248614
JP_598927031,-34.8622383,-7.125942
JP_598927032,-34.8597289,-7.1248438
JP_598927037,-34.8700337,-7.1235241
JP_598927038,-34.8704673,-7.1243145
JP_598927039,-34.8689009,-7.1227934
JP_598927040,-34.8671765,-7.123635
JP_598927041,-34.8676274,-7.1245315
JP_598927042,-34.8660484,-7.1241455
JP_598927043,-34.866899,-7.1237606
JP_598927048,-34.8668813,-7.1230756
JP_598927052,-34.8671146,-7.122325
JP_598927058,-34.8655321,-7.1230662
JP_598927062,-34.8651621,-7.1222844
JP_598927063,-34.8670573,-7.1197516
JP_598927064,-34.8677371,-7.1198645
JP_598927066,-34.8659011,-7.1207831
JP_598927067,-34.865828,-7.1207646
JP_598927069,-34.8671195,-7.1198522
JP_598927070,-34.8672646,-7.1200991
JP_598927071,-34.8682828,-7.1217708
JP_598927072,-34.8662415,-7.1217781
JP_598927073,-34.8633434,-7.1241069
JP_598927074,-34.8644451,-7.1235905
JP_598927075,-34.8627909,-7.1243504
JP_598927076,-34.8629746,-7.1233031
JP_598927077,-34.8624247,-7.1235666
JP_598927078,-34.8625334,-7.1223782
JP_598927080,-34.8640864,-7.1228054
